QtrEMPLID,Paycode_Entry
ALDD_FY2022_Q2,"60485, 60583"
ALDD_FY2023_Q1,"64225, 65561"
ALDD_FY2023_Q2,"65619, 65761"
ALDD_FY2024_Q4,"76038, 76463, 77650"
AMOJ_FY2024_Q4,77651
ANWL_FY2023_Q4,68174
ANWL_FY2024_Q2,72226
ANWL_FY2024_Q3,"74126, 74240"
ANWL_FY2024_Q4,"76039, 76776, 77514, 77652"
ARMS_FY2022_Q1,60169
ARMS_FY2022_Q2,"60556, 60569, 61424"
ARMS_FY2022_Q3,61603
ARMS_FY2022_Q4,"62964, 63110, 63508, 64123"
ARMS_FY2023_Q1,"64304, 65075, 65509"
ARMS_FY2023_Q2,"65609, 65709"
ARMS_FY2023_Q3,"66928, 67097, 67936"
ARMS_FY2023_Q4,"68239, 68265"
ARMS_FY2024_Q1,"70239, 70262, 71351, 71487"
ARMS_FY2024_Q2,"72227, 74028"
ARMS_FY2024_Q3,"74196, 74352, 74583"
ARMS_FY2024_Q4,"76040, 77732"
BAKA_FY2024_Q4,"76549, 77653"
BARG_FY2023_Q1,"64230, 64402, 65076"
BARG_FY2023_Q2,"65620, 65710, 66834"
BARG_FY2023_Q3,"66929, 67098"
BARG_FY2023_Q4,"68240, 68266, 68372"
BARG_FY2024_Q4,"76041, 76154, 76550, 77733"
BART_FY2022_Q1,"59518, 59823, 60056"
BART_FY2022_Q2,"60557, 60570"
BART_FY2022_Q3,"61605, 61685"
BART_FY2022_Q4,"62966, 63112"
BART_FY2023_Q1,"64305, 65077, 65182"
BART_FY2023_Q2,"65690, 65711, 66835"
BART_FY2023_Q3,"66930, 67099"
BART_FY2023_Q4,"68241, 68267"
BART_FY2024_Q1,"70240, 70979, 71489"
BART_FY2024_Q2,"72229, 74029"
BART_FY2024_Q3,"74197, 74242"
BART_FY2024_Q4,"76042, 76434, 77734"
BEAA_FY2022_Q1,"59519, 60057"
BEAA_FY2022_Q2,"60481, 60571"
BEAA_FY2022_Q3,61606
BEAA_FY2022_Q4,"62967, 63113, 64124"
BEAA_FY2023_Q1,"64231, 64420, 65080"
BEAA_FY2023_Q2,"65691, 65712, 65805, 66548, 66836"
BEAA_FY2023_Q3,"66931, 67100"
BEAA_FY2023_Q4,"68242, 68268, 68475"
BEAA_FY2024_Q1,"70241, 71490"
BEAA_FY2024_Q2,"72230, 74031"
BEAA_FY2024_Q3,"74199, 74354, 74823"
BEAA_FY2024_Q4,"76043, 76435, 77090, 77735"
BENL_FY2022_Q1,"59520, 60058, 60388"
BENL_FY2022_Q2,60572
BENL_FY2022_Q3,"61607, 61900"
BENL_FY2022_Q4,"62968, 63114, 63301, 63504"
BENL_FY2023_Q1,"64306, 64969, 65081"
BENL_FY2023_Q2,"65610, 65713, 66444, 66837"
BENL_FY2023_Q3,"66932, 67101"
BENL_FY2023_Q4,"68243, 68269, 68610"
BENL_FY2024_Q1,"70242, 71491, 72077"
BENL_FY2024_Q2,"72231, 73457, 74032"
BENL_FY2024_Q3,"74200, 74355"
BENL_FY2024_Q4,"76044, 76156, 77736"
BLAM_FY2024_Q4,"76045, 77091, 77737"
BOTA_FY2024_Q3,74695
BOTA_FY2024_Q4,"76046, 77738"
BRIT_FY2022_Q3,61626
BRIT_FY2023_Q2,"65623, 65763"
BRIT_FY2024_Q1,70114
BRIT_FY2024_Q2,72232
BRIT_FY2024_Q3,"74127, 74241"
BRIT_FY2024_Q4,"76047, 77654"
BROD_FY2023_Q4,"68585, 68612"
BROD_FY2024_Q1,"70116, 71493"
BROD_FY2024_Q2,"72233, 74033"
BROD_FY2024_Q3,"74201, 74356"
BROD_FY2024_Q4,"76048, 77739"
CADD_FY2022_Q4,63877
CADD_FY2023_Q1,"64307, 65083"
CADD_FY2023_Q2,"65693, 65716, 66554, 66840"
CADD_FY2023_Q3,"66935, 67103"
CADD_FY2023_Q4,"68245, 68274, 68614, 69523"
CADD_FY2024_Q1,"70194, 70397, 70556, 71354, 71496"
CADD_FY2024_Q2,"72236, 73592, 74035"
CADD_FY2024_Q3,"74203, 74358, 74449"
CADD_FY2024_Q4,"76050, 76159, 76459, 77374, 77655"
CANP_FY2022_Q1,"9930, 9934"
CANP_FY2022_Q2,"9949, 9959"
CANP_FY2022_Q4,9979
