Sum of Payroll Tax - Eligible,Column Labels,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,(blank), Grand Total 
9,0,0,0,0,0,0,0,0,0,0,0,0,, -   
AL,110623.87,,774.79,35401.59,3896.75,10288.74,13701.44,11696.63,9081.28,16578.05,18079.86,38539.99,," 268,662.99 "
ALDD,0,,,0,,,0,,,0,,,, -   
AMOJ,,,,,,0,,,,,,,, -   
ANWL,0,,,0,,,0,,,0,,,, -   
ARMS,0,,,0,,,0,,,0,,,, -   
BAKA,,,,,0,,,,,,,,, -   
BARG,0,,,0,,,0,,,0,,,, -   
BART,0,,,0,,,0,,,0,,,, -   
BEAA,0,,,0,,,0,,,0,,,, -   
BEAA2,0,,,0,,,0,,,0,,,, -   
BENL1,0,,,0,,,0,,,0,,,, -   
BEREAVE,524.87,98.04,,,,420,490.96,,,,98.04,,," 1,631.91 "
BLAM,,0,,0,,,,,,,,,, -   
BOTA,0,,,0,,,,,,,,,, -   
BPAY,1530.39,,,,576.87,6344.2,,,,11518.79,,,," 19,970.25 "
BRIT,0,,,0,,,0,,,0,,,, -   
BROD,0,,,0,,,0,,,0,,,, -   
CADD,0,,,0,,,0,,,0,,,, -   
CADD2,0,,,0,,,0,,,0,,,, -   
CANS,0,,,0,,,0,,,0,,,, -   
CANT,,,,,,0,,,,,,,, -   
CASBNS,43904.44,,,20785.16,321.78,,,,,31846.52,,7783.8,," 104,641.70 "
CBUS,0,,,0,,,0,,,0,,,, -   
CHILD,,0,,0,,,,,,,,,, -   
CHOS,0,,,0,,,0,,,0,,,, -   
CLAB,0,,,0,,,0,,,0,,,, -   
COLD,0,,,0,,,,,,,0,,, -   
COLJ,0,,,0,,,0,,,0,,,, -   
COLJ2,0,,,0,,,0,,,0,,,, -   
CRIJA,0,,,0,,,0,,,0,,,, -   
DARM,0,,,0,,,,,,,,,, -   
DAYS,0,,,0,,,0,,,0,,,, -   
DOKI,0,,,0,,,0,,,0,,,, -   
DONR,0,,,0,,,0,,,0,,,, -   
DOYF,0,,,0,,,0,,,0,,,, -   
DUDP,0,,,0,,,0,,,0,,,, -   
ELLJ,0,,,0,,,,,,,,,, -   
ELLM,0,,,0,,,0,,,0,,,, -   
ELLR,0,,,0,,,0,,,0,,,, -   
ELLT,0,,,0,,,0,,,0,,,, -   
ERBSS,0,,,0,,,0,,,0,,,, -   
EXTRA,112168.93,2858.23,499.42,145338.65,2063.43,217.94,128211.18,3197.82,20.51,116451.26,2758.21,169.63,," 513,955.21 "
FERP1,0,,,0,,,0,,,0,,,, -   
FINM,0,,,0,,,0,,,0,,,, -   
FLK,0,,,0,,,0,,,0,,,, -   
FOOA,0,,,0,,,,0,,0,,,, -   
FRAG,0,,,0,,,0,,,0,,,, -   
FRYN2,0,,,0,,,0,,,0,,,, -   
FULJA,0,,,0,,,0,,,0,,,, -   
GAMC,0,,,0,,,0,,,0,,,, -   
GAMF,0,,,0,,,0,,,0,,,, -   
GAMR,0,,,0,,,0,,,0,,,, -   
GOWM,0,,,0,,,0,,,0,,,, -   
HALS,0,,,0,,,0,,,0,,,, -   
HANM,,,,0,,,,,,,,,, -   
HARJ,0,,,0,,,0,,,0,,,, -   
HILJ,,,,,0,,,,,,,,, -   
HRSBNS,6474.65,,,4823.03,2421.4,,10241.72,,,5882.5,,98198.16,," 128,041.46 "
IMPOST1,0,0,,0,0,0,0,,,0,,0,, -   
INGP,0,,,0,,,0,,,0,,,, -   
JACG,0,,,0,,,0,,,0,,,, -   
JENB,0,,,0,,,0,,,0,,,, -   
JENG,0,,,0,,,,0,,0,,,, -   
JOHB,0,,,0,,,0,,,0,,,, -   
JOND,0,,,0,,,0,,,0,,,, -   
JONK,,,,,0,,,,,,,,, -   
KELC,0,,,0,,,0,,,0,,,, -   
KERJ,0,,,0,,,0,,,0,,,, -   
KIEJ,,,,0,,,,,,,,,, -   
KM10,0,0,0,0,0,0,0,0,0,0,0,0,, -   
LABJ,0,,,0,,,0,,,0,,,, -   
LEID,0,,,0,,,,0,,0,,,, -   
LIDG,,0,,,,,,,0,0,,,, -   
LOAD,,,,,,,,,96.25,,,,, 96.25 
LOADING,19034.21,,135.59,6195.21,681.95,1800.53,2301.49,1986.49,1485.19,2901.16,2976.02,6151.51,," 45,649.35 "
LOHJ,0,,,0,,,0,,,0,,,, -   
LSL,4416,,1953,1638,,46654.81,,,,5184,,,," 59,845.81 "
MACK,0,,,0,,,0,,,0,,,, -   
MANI,0,,,0,,,0,,,0,,,, -   
MARI,0,,,0,,,0,,,0,,,, -   
MCAA,0,,,0,,,0,,,0,,,, -   
MCAI,0,,,0,,,0,,,0,,,, -   
MCKK,0,,,0,,,0,,,0,,,, -   
MEAL4,0,,,0,,,0,,,0,,,, -   
MEALS,,,,,,,,,0,,,,, -   
MERJ,0,,,0,,,,,,,,,, -   
NELJ,0,,,0,,,0,,,0,,,, -   
NICR,0,,,0,,,0,,,0,,,, -   
NIES,,,,0,,,,,,,,,, -   
NORMAL,1226789.6,47183.84,6010.72,1465659.41,29099,8238.19,1276150.07,20310.62,1755,1137191.48,19735.56,8581.54,," 5,246,705.03 "
NORMTAX,0,0,0,0,0,0,0,0,0,0,0,0,, -   
NOWD,0,,,0,,,0,,,0,,,, -   
NUAG,0,,,0,,,0,,,0,,,, -   
OBRA,0,,,0,,,,,,,,0,, -   
OT1.5,30448.87,270.06,,43310.8,,,41645.06,536.49,,31897.85,,,," 148,109.13 "
OT2.0,428.54,,,2112.71,2172.94,,1585.01,,,921.71,60.32,,," 7,281.23 "
PEND,0,,,0,,,0,,,0,,,, -   
PH,45023.48,600,1350.14,55214.4,296,,,,13687.78,43834.55,,2009.41,," 162,015.76 "
PURT,0,,,0,,,0,,,0,,,, -   
REAJ,0,,,0,,,0,,,0,,,, -   
RIDL,0,,,0,,,0,,,0,,,, -   
RILB,0,,,0,,,0,,,0,,,, -   
ROXA,0,,,0,,,,,,,,0,, -   
RUTB,0,,,0,,,0,,,0,,,, -   
RUTY,0,,,0,,,0,,,0,,,, -   
