FY&Q,Discrepancy 1 - SW Comment,Discrepancy 2 - SW Comment,Discrepancy 3 - SW Comment,Comment 1 - Count,Comment 2 - Count,Comment 3 - Count,Total Comments,No Payment Under Client Mapping - Comment Count,SW Mapping Didn't Classify Line - Comment Count,Additional Hours: LEAVE LOADING 17.5% - Under Payment Count - Discrep 1,Vehicle Allowance as OTE - Under Payment Count - Discrep 1,MV ALLOWANCE GC as OTE - Under Payment Count - Discrep 1,Leave Loading - Under Payment Count - Discrep 1,LEAVE LOADING 17.5% - Under Payment Count - Discrep 1,Ordinary - Under Payment Count - Discrep 1,ANNUAL LEAVE LOADING - Under Payment Count - Discrep 1,Staff Training Day - Under Payment Count - Discrep 1,Additional Hours: LEAVE LOADING 17.5% - Over Payment Count - Discrep 1,Vehicle Allowance as OTE - Over Payment Count - Discrep 1,MV ALLOWANCE GC as OTE - Over Payment Count - Discrep 1,Leave Loading - Over Payment Count - Discrep 1,LEAVE LOADING 17.5% - Over Payment Count - Discrep 1,Ordinary - Over Payment Count - Discrep 1,ANNUAL LEAVE LOADING - Over Payment Count - Discrep 1,Staff Training Day - Over Payment Count - Discrep 1,Under Payment Count - Discrep 2,Over Payment Count - Discrep 2,No Super Count - Discrep 2,Client Mapping No Pay Count - Discrep 2,Refer to Discrepancy 1 Count - Discrep 3,Mapping and Payroll issue Count - Discrep 3,Refer to Discrepancy 2 Count - Discrep 3,Comment 3 - in Depth,Under Payment Count - Discrep 3 in Depth,Over Payment Count - Discrep 3 in Depth,No Super Count - Discrep 3 in Depth,Client Mapping No Pay Count - Discrep 3 in Depth
2022_Q1,No payment under Client Mapping 59467_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59467_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 60388_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60388_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q1,No payment under Client Mapping 59473_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59473_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 60222_A Description: LEAVE LOADING 17.5%,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60222_A Description: LEAVE LOADING 17.5%,0,0,0,1
2022_Q1,"Overpayment, SW Mapping didn't classify 9931_A Description: MV ALLOWANCE GC as OTE",No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Overpayment, SW Mapping didn't classify 9931_A Description: MV ALLOWANCE GC as OTE",0,1,0,0
2022_Q1,No payment under Client Mapping 59716_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59716_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59545_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59545_N Description: Ordinary,0,0,0,1
2022_Q1,"No payment under Client Mapping 59481_N Description: Ordinary | Overpayment, SW Mapping didn't classify 60141_N Description: Workers Comp Excess as OTE",No Super was paid under pay run number: 60141,Mapping and Payroll issue with pay run: 59481 refer to Discrepancy 1 and 2 for more details,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Mapping and Payroll issue with pay run: 59481 refer to Discrepancy 1 and 2 for more details,0,0,0,0
2022_Q1,No payment under Client Mapping 60004_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 60004_N Description: Ordinary,0,0,0,1
2022_Q1,No payment under Client Mapping 59482_N Description: Ordinary,No Discrepancy / Immaterial,Refer to Discrepancy 1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No payment under Client Mapping 59482_N Description: Ordinary,0,0,0,1
